1896  483424  15032  4  3355362  13939  1  297089  13885  315  386942  14315  2  397448  13449
1933  423726  11708  4  3317970  13356  1  290401  16025  310  379663  15405  2  455862  13200
1933  437225  11836  3  3316619  13887  1  289971  14781  1144  379841  15323  1  511386  16450
1810  491013  14461  3  3298914  13780  1  290349  14730  1247  380044  14861  2  399568  13409
7381  999388  23916  4  9619351  13671  1  938018  14527  1123  1062501  15361  3  1055749  14740
7320  996949  23779  5  9679510  13455  1  952801  15693  1072  1077895  16040  4  1347420  11566
7322  962662  26369  5  9632613  13894  1  949826  14454  1838  1075639  16238  3  1308820  14323
7428  1000321  26373  5  9597354  14180  2  952660  14359  2222  1079474  15339  2  1238933  13612
60592  2497243  24660  5  30977248  15244  1  3559841  14949  12275  3854225  15968  4  3216717  15379
60988  2408281  24852  6  30968927  14859  1  3441721  14112  12467  3746873  16905  4  3447782  13885
60850  2543421  31267  8  30769784  14173  2  3560929  14975  11822  3867573  16585  5  3545900  15086
61235  2441973  25079  7  30776055  15204  1  3449972  15189  11909  3751660  16295  3  3714831  15642
219123  8443635  49932  10  106908738  15105  2  8090242  13808  46657  9838641  15951  7  7988915  14368
221899  8655367  49912  12  105710132  14340  2  7998224  13913  46165  9864629  15944  7  8048274  14601
219724  8580815  49876  11  106616499  14065  2  7887618  14334  46604  9903346  16665  7  8022372  14159
220705  8671094  49902  13  105847802  14442  2  8166284  14960  46624  9959816  16919  6  7748544  15206
775265  37288773  101635  14  377957551  14325  2  33960151  13996  182652  49505726  15612  12  33725024  13498
772633  37054011  101777  21  378717994  15535  3  33741623  13770  182262  49512415  15726  12  34618803  14466
772427  37312969  101721  22  379707494  14602  1  33617265  14162  183849  49517113  17485  13  33946945  16040
784530  37488082  101272  16  380519362  14489  3  41171134  15172  177534  60835787  18639  12  41662610  14398
