25347  105  0  1934  8263  1175  2  0  21  36847
26127  3538  0  4768  14420  5254  9  0  124  54240
25623  8330  1  12923  30913  6989  32  1  75  84887
31307  13268  2  36630  57911  21036  116  1  137  160408
32377  34311  4  214039  115513  52912  426  2  570  450154
28984  121312  5  469073  228746  127476  1507  2  1389  978494
34865  1.03686e+06  22  1.22504e+06  467014  412314  5807  4  10335  3.19226e+06
63400  2.5401e+07  61  4.0115e+06  943016  1.51205e+06  24191  7  72288  3.20275e+07
166718  1.22426e+08  130  1.28724e+07  1.93134e+06  6.22202e+06  89242  13  494105  1.44202e+08
468263  7.91989e+08  249  5.0889e+07  3.83431e+06  2.47818e+07  344138  24  3.93871e+06  8.76245e+08
