2950  435483  16692  1154  453347  15756
874  423889  16151  1164  437721  16200
917  433281  14297  1188  458193  14936
2661  429632  14177  7360  454824  14782
2237  451535  13785  6755  400061  13714
10439  836284  24251  14956  898441  31274
10839  799702  23560  19361  870758  29938
10686  817109  25827  16598  884764  26259
3286  878085  23753  4692  814203  26640
3249  839855  25772  5730  830199  26921
34873  2263671  24982  44046  2153971  24854
37503  2159385  24837  56205  2130904  24924
36779  2288506  31788  56090  2178001  24599
35984  2202266  30035  56781  2135518  24670
35944  2122076  24815  56360  2355101  24723
138347  7589544  49677  172293  8568246  49729
142182  7827921  49386  170786  8438291  50459
140928  7668180  49715  171874  8515405  49702
139531  7884620  51385  165790  8721445  49955
138711  7650880  50103  170332  8692165  49684
547731  37109266  101655  585486  30612896  102286
559775  35726470  102093  580309  30042822  101119
560808  36830651  100869  588514  31025288  111132
551661  36023738  102210  576529  30241110  116411
555758  36539005  101616  573049  30934358  106274
