78.3191  0.462304  8.29777  8.42224  4.23186  0.266714
58.0295  0.726674  20.6881  10.4585  9.37851  0.718645
32.122  11.9929  27.3386  12.7051  14.621  1.22032
14.0075  19.859  33.3595  10.9053  18.4339  3.43478
6.48911  9.08215  59.2475  7.69414  16.0955  1.39162
3.52442  7.50513  61.8065  6.67147  19.1783  1.31414
1.69145  10.3178  59.9953  5.40644  20.065  2.52404
0.795739  20.8276  51.6893  3.10498  20.4438  3.13858
0.518738  42.9123  35.0191  1.3192  17.2323  2.99835
0.144926  69.6476  18.6277  0.38638  9.47063  1.72277
