31  13041  755  3  185080  23677  2  5456  25497  5  66200  26193  2  3623  19284
28  9757  764  3  194666  25221  2  4389  30249  6  65267  24085  2  3771  18179
31  11754  787  3  184626  28471  2  3956  20200  6  64602  21203  2  3633  18277
29  9002  765  3  200835  26992  2  4212  30066  6  64965  21293  2  3248  20925
80  12984  1740  2  413919  25399  2  11081  33055  16  129293  28588  2  7202  26282
122  19264  1743  4  410253  31674  2  10917  30796  19  129125  30720  2  7250  29219
100  18875  1565  3  404729  27452  2  11254  32748  18  128959  24286  2  7391  24643
125  18932  1503  2  395165  27838  1  11068  29164  18  133878  23848  2  8111  20838
370  45442  5056  3  825340  45541  2  34105  42600  78  285829  42982  2  19025  38047
366  48158  4521  3  831954  40684  2  33600  39155  96  287192  43700  2  19336  38076
336  42015  5035  4  853919  50183  2  35224  45046  80  275605  45193  2  20735  36643
345  45760  5408  4  854572  38010  2  31907  65109  81  295454  50595  3  20777  38432
1460  107841  12704  10  1794088  124803  3  88206  135184  276  581679  146104  3  48985  135060
1483  99046  12650  5  1741176  140195  2  88640  122868  228  557378  131237  3  48840  141227
1440  93030  14914  3  1743393  135848  2  87836  129564  293  556400  121572  3  47672  134063
1139  98846  12854  4  1805610  141826  2  88131  135968  295  558417  153726  3  46128  151364
5682  226067  50143  5  3807281  447443  2  311385  430861  1101  1272673  447795  5  161717  436128
5688  242638  49921  6  3817160  452813  1  319141  451476  1092  1283261  453021  3  173868  431929
5643  236936  53047  6  3845235  432945  2  331610  457180  1084  1302247  419993  3  164552  447826
5623  235509  50031  5  3900959  438379  2  310495  441447  1081  1254792  450731  4  159184  424935
