2773  338388  14994  1457  445592  12181
832  352894  13949  1462  411514  14386
823  328124  16344  1451  408454  15791
854  353643  15035  1516  443309  14151
832  334774  14432  1467  397280  15724
10256  841391  24170  14401  914951  25230
8855  825307  23507  16174  906908  25489
9737  829636  26837  17729  939717  24380
8794  855134  29172  15135  917936  23910
3228  840273  25880  5734  877299  23831
35292  2123732  24773  43971  2251579  24769
35504  2067046  24740  50668  2275145  25141
36225  2135668  24837  58863  2238884  24815
36095  2165807  24656  56905  2410764  30428
36507  2242550  24552  52866  2208432  25028
137771  7821028  49403  168161  24035874  49701
141064  7767921  49428  173245  24005486  49493
140391  7725738  49772  171616  24163729  49474
142152  7865135  49620  170115  24000036  50082
138860  7704947  49515  168621  24252107  49439
550938  35991129  101334  574995  60190468  101502
554387  35773292  101645  584305  60606169  106420
555870  35799643  101518  588620  60331604  101302
552105  36010765  101457  589780  60480787  101137
555145  36297948  100780  580480  60514909  101048
