1508  426743  51014  4  3313700  904984  2  278831  911329  289  404049  848167  3  692554  904388  281  379844  52808
1359  454500  90367  4  3304201  916228  1  274149  982864  286  404162  940087  2  763132  871723  296  384266  51528
1410  430325  71801  6  3300230  934356  1  278176  921906  290  415124  904560  3  682013  892347  291  387243  52165
1431  430239  51694  4  3286635  908986  2  274404  924590  302  424348  951714  3  727425  859800  295  401689  53320
1336  437750  86862  4  3326977  926437  2  295464  947525  280  440346  958626  2  867847  903767  319  383560  90633
15919  864549  182824  5  9814375  2683169  18  951369  2544416  1141  1176502  2646045  2  1661137  2727864  1070  1298376  197163
18956  945799  191099  5  9619699  2651831  2  950800  2624658  1043  1173106  2711643  3  1614963  2784806  1097  1095981  194433
18953  948670  328770  5  9335595  2699596  2  967910  2622482  1066  1187310  2896574  3  1859728  2745878  1142  1102729  198003
19899  816966  196150  4  9472944  2781846  18  961844  2708079  1107  1201906  2765088  3  1757790  2846548  1302  1297442  194865
15747  865385  199716  5  9742706  2741954  2  955233  2567885  1064  1174957  2632909  5  1657245  2575831  1050  1175775  194418
50905  2139728  776099  8  30394965  7142651  3  3548374  7124294  15394  4046421  7224541  6  4633324  7239313  12797  3246617  823369
51411  2157355  751569  8  29046820  7713912  1  3460339  7463207  13448  3979127  7615085  4  4763852  7616636  12272  3386813  802127
52351  2314547  783010  8  28848706  7298783  2  3569522  7480250  12606  4101256  7536019  4  4666978  7432024  12981  3254002  795883
57344  2288905  767162  8  29109959  7396773  1  3407183  7274262  16282  3962998  7329910  20  4598444  7476098  13752  3132333  826596
58888  2165128  754415  8  28739196  7509749  4  3421338  6880032  13137  3970996  7285863  4  4901884  7295494  12179  3426386  803561
170519  7948939  2549068  11  101983996  23996325  2  8000700  24092956  45946  10121985  23824152  18  15175155  23126318  47244  8017365  2747053
170599  7847247  2584182  13  102091200  23944188  1  8151844  23156185  45735  10355279  23679832  8  14919085  23354776  46402  8261111  2642958
172308  7809291  2585839  12  103865646  23624644  18  8044736  23455254  46558  10215806  23554710  9  14571779  22692469  47927  8120347  2637062
170440  7899314  2589162  11  103843142  23131664  3  8201596  23567158  45857  10294795  23644126  9  14343877  22826765  47148  7957474  2657086
165256  8122491  2639529  11  104284590  24412989  3  8083251  22483993  49600  10247282  23613274  7  14735701  23761776  48366  8040597  3014174
575299  36043792  10440730  27  375905661  99730929  3  33695330  96993252  182612  50012433  99199704  24  44934404  98636163  183566  33694133  10745711
577971  36055266  10377499  32  373922112  99573782  3  33834412  95812991  182892  50058084  97516193  13  45111998  96063609  187372  33854794  10663804
583140  36173332  10388653  25  378765827  100178492  2  33737191  97791447  185423  49974425  99879333  13  44420849  98362676  183210  33656380  10665060
584482  36143267  10433438  23  378146820  100582237  2  33747313  97395594  188894  50193223  99416510  13  45143013  98601319  182802  33716398  10711774
589605  36391083  10365120  25  367314301  99269094  3  33829695  97042875  192584  50198368  99555615  15  45081214  96759919  186089  33786482  10670839
