2795  361006  90870  4190  400161  77072
822  370626  75300  1465  410184  87821
877  368261  49716  1451  420345  88057
807  346906  51189  1458  419511  90713
780  344825  52650  1328  388735  82794
10753  885227  194601  16831  925353  187931
3268  854287  190027  4704  937456  251192
3340  826388  192821  4421  898498  258121
10248  854380  192977  17531  938875  196776
3521  818178  192662  5723  964925  266684
37744  2145783  723612  55511  2679258  758016
36979  2236312  777018  53134  2621060  744522
38369  2259293  785570  50577  2722036  748529
37378  2150334  782817  55490  2735743  762296
35978  2153914  768406  52299  2740203  801586
139866  7679571  2540401  170197  9836273  2529230
141733  7636397  2538680  166297  9924133  2548413
138803  7672348  2536478  172476  9722016  2558597
143190  7659455  2578359  171088  9705754  2551377
138979  7653256  2535753  174668  10128941  2526374
547321  35762341  10424696  586167  35548570  10328873
553226  36434067  10344399  582804  35668637  10341627
558220  35410088  10344358  580560  36873595  10364254
566009  35954516  10318888  587215  35734416  10321213
557342  35232215  10334849  591808  35687726  10341019
